"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"698",8,3e+05,0.3,0.001,1,0.240282685512367,0.000104498701456568,0.00428896561236568,1.03713347184284,"BR"
"699",9,3e+05,0.3,0.001,1,0.259649122807018,0.000106133219131763,0.00445435486837554,1.13120279852216,"BR"
"700",10,3e+05,0.3,0.001,1,0.23321554770318,0.000152541411674711,0.00605549840529736,1.66643318421976,"BR"
"701",1,30000,0.8,0.001,1,0.300353356890459,0.000904938923859545,0.0123850012915185,0.983003000678264,"BR"
"702",2,30000,0.8,0.001,1,0.239852398523985,0.00109437263306892,0.0140804522621429,1.08076777545789,"BR"
"703",3,30000,0.8,0.001,1,0.323843416370107,0.000854134162639636,0.0103391517474511,0.654094064747004,"BR"
"704",4,30000,0.8,0.001,1,0.286219081272085,0.000808257962249578,0.0106579068946469,0.761027782672447,"BR"
"705",5,30000,0.8,0.001,1,0.243636363636364,0.000981643754723773,0.0138728103815113,1.21333542526371,"BR"
"706",6,30000,0.8,0.001,1,0.241635687732342,0.00125494151583007,0.0159517412422578,1.27608568785631,"BR"
"707",7,30000,0.8,0.001,1,0.225563909774436,0.00152042361192197,0.0181260025115782,1.40659701939306,"BR"
"708",8,30000,0.8,0.001,1,0.275092936802974,0.000820497795383403,0.0112774673689215,0.868355310775742,"BR"
"709",9,30000,0.8,0.001,1,0.291095890410959,0.0010564205502867,0.0139717139043501,1.11218311242284,"BR"
"710",10,30000,0.8,0.001,1,0.213235294117647,0.00159991873470463,0.0203175920178243,1.87463790362293,"BR"
"711",1,3e+05,0.8,0.001,1,0.311827956989247,4.94368574567757e-05,0.00207154799302348,0.416361936237801,"BR"
"712",2,3e+05,0.8,0.001,1,0.312883435582822,6.52910921862114e-05,0.00268126474624313,0.556176300762518,"BR"
"713",3,3e+05,0.8,0.001,1,0.31390134529148,5.16042157370578e-05,0.00212351384247568,0.419669610137334,"BR"
"714",4,3e+05,0.8,0.001,1,0.310089020771513,4.84440662682223e-05,0.00216384100062141,0.47376149343991,"BR"
"715",5,3e+05,0.8,0.001,1,0.329230769230769,4.4687056449067e-05,0.00185417076576513,0.361170351638192,"BR"
"716",6,3e+05,0.8,0.001,1,0.281345565749235,6.05059046041739e-05,0.00264374231575321,0.590636229824751,"BR"
"717",7,3e+05,0.8,0.001,1,0.305847076461769,6.74813388282573e-05,0.00274828399732437,0.567679696837362,"BR"
"718",8,3e+05,0.8,0.001,1,0.304953560371517,7.6362836551763e-05,0.00308008724957586,0.647931081683098,"BR"
"719",9,3e+05,0.8,0.001,1,0.302255639097744,4.25080555153502e-05,0.00175837888451017,0.338382226091795,"BR"
"720",10,3e+05,0.8,0.001,1,0.330232558139535,6.07353623660844e-05,0.0025557849050259,0.540130061444121,"BR"
"721",1,30000,0.3,0.01,-1,1,-0.0303094062250765,-0.0942999117086284,-0.70152994150807,"cl1"
"722",2,30000,0.3,0.01,-1,100,100,100,100,"cl1"
"723",3,30000,0.3,0.01,-1,100,100,100,100,"cl1"
"724",4,30000,0.3,0.01,-1,100,100,100,100,"cl1"
"725",5,30000,0.3,0.01,-1,1,-0.0164800012280251,-0.0571765352555439,-0.5525298656784,"cl1"
"726",6,30000,0.3,0.01,-1,100,100,100,100,"cl1"
"727",7,30000,0.3,0.01,-1,100,100,100,100,"cl1"
"728",8,30000,0.3,0.01,-1,1,-0.0475251078564946,-0.126317631107647,-0.752696824062851,"cl1"
"729",9,30000,0.3,0.01,-1,100,100,100,100,"cl1"
"730",10,30000,0.3,0.01,-1,100,100,100,100,"cl1"
"731",1,3e+05,0.3,0.01,-1,0.612903225806452,0.000519283725634249,0.00904375910548824,0.88760181294899,"cl1"
"732",2,3e+05,0.3,0.01,-1,0.589041095890411,0.000413826798159707,0.00891740467877707,1.17778335756151,"cl1"
"733",3,3e+05,0.3,0.01,-1,0.5625,0.000457519110348368,0.00831986451342204,0.840174067904153,"cl1"
"734",4,3e+05,0.3,0.01,-1,0.517857142857143,0.00100236070630799,0.0176685782855759,2.62760402030781,"cl1"
"735",5,3e+05,0.3,0.01,-1,0.517857142857143,0.00090028540816723,0.0138831199492328,1.38645881181653,"cl1"
"736",6,3e+05,0.3,0.01,-1,0.603448275862069,0.000400720718717186,0.00717141483397778,0.67567114937847,"cl1"
"737",7,3e+05,0.3,0.01,-1,0.590909090909091,0.000267532121722698,0.00546400980075632,0.565568976225115,"cl1"
"738",8,3e+05,0.3,0.01,-1,0.509803921568627,0.00159905707110343,0.0251230539949956,4.30940692421531,"cl1"
"739",9,3e+05,0.3,0.01,-1,0.617021276595745,0.000648546813900324,0.0114778472159815,1.27957981285819,"cl1"
"740",10,3e+05,0.3,0.01,-1,0.625,0.000259356464791247,0.0053568186074879,0.55952920898312,"cl1"
"741",1,30000,0.8,0.01,-1,0.627450980392157,0.00694125835460925,0.0338558392167793,0.947659707692073,"cl1"
"742",2,30000,0.8,0.01,-1,0.435897435897436,0.0098454691239553,0.055515209834376,2.65322119921946,"cl1"
"743",3,30000,0.8,0.01,-1,0.595744680851064,0.000988039842044638,0.00577994926370393,0.144880687785875,"cl1"
"744",4,30000,0.8,0.01,-1,0.634920634920635,0.00211448436958892,0.0129453200012097,0.373939545695506,"cl1"
"745",5,30000,0.8,0.01,-1,0.739130434782609,0.000630700340835298,0.0036834912292896,0.089876443011422,"cl1"
"746",6,30000,0.8,0.01,-1,0.516666666666667,0.00714390174622119,0.0420278725688823,1.74541940911788,"cl1"
"747",7,30000,0.8,0.01,-1,0.530612244897959,0.0020497052800353,0.0125053702815502,0.357681123678094,"cl1"
"748",8,30000,0.8,0.01,-1,0.520833333333333,0.00263328514758225,0.0161868429900284,0.490817131946054,"cl1"
"749",9,30000,0.8,0.01,-1,0.522727272727273,0.0107413568400254,0.0593795028936631,2.9098301379346,"cl1"
"750",10,30000,0.8,0.01,-1,0.659574468085106,0.00470096081773773,0.0290522085614194,1.06689435309532,"cl1"
"751",1,3e+05,0.8,0.01,-1,0.516949152542373,0.000398721805467619,0.0108138045147951,2.34885432072515,"cl1"
