"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"314",3e+05,0.8,0.01,-1,0.586190964148989,-0.00015009233325464,-0.306617714931283,0.00458810600587819,1.65871364848098e-05,0.0181673881403596,"cl2"
"414",30000,0.3,0.001,-1,0.999616887735275,-0.0167631127066789,-0.693470399449663,0.000808115676304481,0.000870031258326377,0.0069471761309076,"cl2"
"514",3e+05,0.3,0.001,-1,0.867942539869168,-0.00114397050241317,-0.661172092343687,0.0150306676322657,4.70235768313743e-05,0.010305383687857,"cl2"
"614",30000,0.8,0.001,-1,0.806481570533388,-0.0102436967048493,-0.648139011959268,0.0115244933235387,0.000762947702349505,0.00759822720848548,"cl2"
"714",3e+05,0.8,0.001,-1,0.678600673806261,-0.000619632344435067,-0.587857012334944,0.00635528892103861,4.28670811882476e-05,0.0245352201070842,"cl2"
"814",30000,0.3,0.01,0,1,-0.0169903644139424,-0.696326403091704,0,0.000958455315486819,0.00787731154212169,"cl2"
"914",3e+05,0.3,0.01,0,0.991744027773151,-0.00150042436686405,-0.698426349030215,0.00320781020798343,0.000104079832344366,0.00608398306821114,"cl2"
"1014",30000,0.8,0.01,0,0.954122452501059,-0.012622453900001,-0.696619184322118,0.00575325012972371,0.000719970954188965,0.00769319419547776,"cl2"
"1114",3e+05,0.8,0.01,0,0.586324999146174,-0.000199400023245902,-0.443123609602615,0.0076648713881273,1.17473531074103e-05,0.0129242192118242,"cl2"
"1214",30000,0.3,0.001,0,0.999037654453425,-0.0168308021434801,-0.696591238596109,0.00134963308891864,0.000945403281169479,0.0109934956094453,"cl2"
"1314",3e+05,0.3,0.001,0,0.873825858171467,-0.00119821156054837,-0.680237387668711,0.0115769278686011,6.01589208499112e-05,0.00922154707394758,"cl2"
"1414",30000,0.8,0.001,0,0.815263130722911,-0.0101178714176182,-0.658175543622868,0.0129057099913824,0.00054243799556915,0.00996472842452397,"cl2"
"1514",3e+05,0.8,0.001,0,0.696584781288462,-0.000685047246318996,-0.613305857038401,0.00898481100093658,5.3619933762102e-05,0.0116171946658822,"cl2"
"1614",30000,0.3,0.01,1,1,-0.0169718981356781,-0.696643648180108,0,0.0013587881862754,0.0109623544942551,"cl2"
"1714",3e+05,0.3,0.01,1,0.988135652612214,-0.00148366856906856,-0.696514971593458,0.00413632103167811,8.04475939847641e-05,0.00761253312328867,"cl2"
"1814",30000,0.8,0.01,1,0.9321970728604,-0.0122055057038837,-0.691449896609954,0.00749010912093386,0.000838360610632579,0.00794831889016964,"cl2"
"1914",3e+05,0.8,0.01,1,0.595353801757126,-0.000224183792801392,-0.489913864240086,0.00546468015299364,1.30619000276937e-05,0.0130311033464859,"cl2"
"2014",30000,0.3,0.001,1,0.998813217533555,-0.0167711527093513,-0.699975291499113,0.00136341160382888,0.000603241041728418,0.00808107530151991,"cl2"
"2114",3e+05,0.3,0.001,1,0.870313035859063,-0.00119791431579737,-0.676692056553628,0.0104670803064594,5.71041263835664e-05,0.0124122784604039,"cl2"
"2214",30000,0.8,0.001,1,0.821972727032268,-0.0102381846867315,-0.666403146634976,0.0178830103809194,0.000684930908657334,0.00714119817460364,"cl2"
"2314",3e+05,0.8,0.001,1,0.700960699962584,-0.000704157844050064,-0.63386449859685,0.0120925740123809,2.79075363462459e-05,0.00958280693194591,"cl2"
"16",30000,0.3,0.01,-1,1,-0.0190759631699824,-0.798517940769469,0,0.00154557323021478,0.0109325864427293,"cl3"
"116",3e+05,0.3,0.01,-1,0.994781968312367,-0.00176632457326053,-0.795936388272206,0.00376242073742597,8.48612609468121e-05,0.00777572127327184,"cl3"
"216",30000,0.8,0.01,-1,0.956100759164694,-0.0151044531256383,-0.778772298575386,0.00728163545581457,0.000837455026919135,0.0109736328691607,"cl3"
"315",3e+05,0.8,0.01,-1,0.586464243353857,-0.000135232278487624,-0.276123850190549,0.00416064225777304,1.71366651574625e-05,0.0217493764177581,"cl3"
"415",30000,0.3,0.001,-1,0.999433737552125,-0.0190549728594226,-0.788215317215958,0.000912449447640005,0.00104166073308326,0.0120151518897682,"cl3"
"515",3e+05,0.3,0.001,-1,0.86655723957187,-0.00128325501712758,-0.741667675119367,0.0112752436624181,5.48801548280398e-05,0.0141341081390721,"cl3"
"615",30000,0.8,0.001,-1,0.805729757636574,-0.0115584933351661,-0.731400683811478,0.0122962950645017,0.000859561826136644,0.0139905126182395,"cl3"
"715",3e+05,0.8,0.001,-1,0.696919819028231,-0.000717219354364818,-0.680508082866349,0.0081325271594131,4.58869468259466e-05,0.0244134599009688,"cl3"
"815",30000,0.3,0.01,0,1,-0.0193780114528807,-0.794196952468448,0,0.00109674792701058,0.0106238165748352,"cl3"
"915",3e+05,0.3,0.01,0,0.986518536726723,-0.00170030509537859,-0.791466979159796,0.00586262522331244,0.000119557612435274,0.0106481479494844,"cl3"
"1015",30000,0.8,0.01,0,0.936220695063672,-0.0141891161850495,-0.78309869679526,0.00712588334097277,0.000812646095271232,0.0110831536944488,"cl3"
"1115",3e+05,0.8,0.01,0,0.585592290299755,-0.000199667361689908,-0.443658095359149,0.00813736883884779,1.31443436389161e-05,0.0168161540248008,"cl3"
"1215",30000,0.3,0.001,0,0.998271603055468,-0.0191913674813691,-0.794285293491067,0.0016481868147877,0.00112241919158446,0.0171879643791342,"cl3"
