"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"122",22,3e+05,0.3,0.01,-1,0.641277641277641,-5.79582633157294e-06,-0.000685880107959528,-0.277750753699093,"EB"
"123",23,3e+05,0.3,0.01,-1,0.60609613130129,-3.58997124059277e-06,-0.00042137275086911,-0.179626862848038,"EB"
"124",24,3e+05,0.3,0.01,-1,0.644736842105263,-6.96387200462615e-06,-0.000812486268183469,-0.316356220872419,"EB"
"125",25,3e+05,0.3,0.01,-1,0.652912621359223,-7.23677800330947e-06,-0.000903309614642725,-0.364242381911479,"EB"
"126",26,3e+05,0.3,0.01,-1,0.65554231227652,-6.16735812102929e-06,-0.00074143267594418,-0.300567135453431,"EB"
"127",27,3e+05,0.3,0.01,-1,0.611435239206534,-4.95519769072161e-06,-0.00064399831255833,-0.285070935795028,"EB"
"128",28,3e+05,0.3,0.01,-1,0.63689776733255,-7.73491326566148e-06,-0.000929523818906043,-0.361532946745021,"EB"
"129",29,3e+05,0.3,0.01,-1,0.692665890570431,-7.41338671375155e-06,-0.000888325444605119,-0.347798287747108,"EB"
"130",30,3e+05,0.3,0.01,-1,0.652073732718894,-6.16862740974198e-06,-0.000728374799621113,-0.291687627766948,"EB"
"131",31,3e+05,0.3,0.01,-1,0.628175519630485,-6.48055080803468e-06,-0.000814496050242867,-0.33695546279928,"EB"
"132",32,3e+05,0.3,0.01,-1,0.652985074626866,-6.81347595884994e-06,-0.000772487033387525,-0.296175976674072,"EB"
"133",33,3e+05,0.3,0.01,-1,0.637454981992797,-6.8072725825219e-06,-0.000824832167220726,-0.330427846983719,"EB"
"134",34,3e+05,0.3,0.01,-1,0.626794258373206,-5.85345095348061e-06,-0.000733798973019389,-0.308577755102242,"EB"
"135",35,3e+05,0.3,0.01,-1,0.685185185185185,-8.4126794110999e-06,-0.00103244343540444,-0.399242479692189,"EB"
"136",36,3e+05,0.3,0.01,-1,0.654929577464789,-8.12186803882446e-06,-0.000947130215030174,-0.3582827338296,"EB"
"137",37,3e+05,0.3,0.01,-1,0.649882903981265,-6.64494371095847e-06,-0.00078858838110556,-0.313014024491139,"EB"
"138",38,3e+05,0.3,0.01,-1,0.667441860465116,-7.93473316531847e-06,-0.000980880151459171,-0.385789844994854,"EB"
"139",39,3e+05,0.3,0.01,-1,0.657836644591612,-7.2726641933921e-06,-0.000811549384751988,-0.304577095145143,"EB"
