"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1462",2,30000,0.8,0.01,-1,0.727272727272727,-0.000244962193041483,-0.00944477323380621,-0.782740441617953,"rep"
"1463",3,30000,0.8,0.01,-1,0.956521739130435,-0.000348490029541989,-0.0123310415426675,-0.84598815674416,"rep"
"1464",4,30000,0.8,0.01,-1,0.785714285714286,-0.000137059639988671,-0.00484259195177843,-0.499021569535942,"rep"
"1465",5,30000,0.8,0.01,-1,0.956521739130435,-0.000482659061204717,-0.0146442824731147,-0.85197912305453,"rep"
"1466",6,30000,0.8,0.01,-1,0.866666666666667,-0.000191144553060921,-0.00749001944432653,-0.701670096738747,"rep"
"1467",7,30000,0.8,0.01,-1,0.833333333333333,-0.00042001937844147,-0.0138134073163911,-0.859193151551539,"rep"
"1468",8,30000,0.8,0.01,-1,0.75,-0.000177073045490535,-0.00633428993134521,-0.602425824759873,"rep"
"1469",9,30000,0.8,0.01,-1,0.947368421052632,-0.000206270581056384,-0.00766452466543767,-0.69012080686608,"rep"
"1470",10,30000,0.8,0.01,-1,0.826086956521739,-0.000454686892556129,-0.0124643081110782,-0.759248244750731,"rep"
"1471",1,3e+05,0.8,0.01,-1,0.514195583596215,-1.56630433250663e-07,-2.24095309022793e-05,-0.0127429202768345,"rep"
"1472",2,3e+05,0.8,0.01,-1,0.495303468208093,-1.2908135127249e-06,-0.000182221548663191,-0.097799142623078,"rep"
"1473",3,3e+05,0.8,0.01,-1,0.520433112120154,-2.18738470244456e-06,-0.000299183549929606,-0.151068663349139,"rep"
"1474",4,3e+05,0.8,0.01,-1,0.503315881326353,-1.73494359824099e-06,-0.000239854471907941,-0.124261152027496,"rep"
"1475",5,3e+05,0.8,0.01,-1,0.493997175141243,-5.86082745643054e-07,-8.2333650214914e-05,-0.0452133888383661,"rep"
"1476",6,3e+05,0.8,0.01,-1,0.505281690140845,-1.56161463502983e-07,-2.15137326938235e-05,-0.0117854749458012,"rep"
"1477",7,3e+05,0.8,0.01,-1,0.518465909090909,-1.76094012017509e-06,-0.00024007078196225,-0.122749912227622,"rep"
"1478",8,3e+05,0.8,0.01,-1,0.515782171349289,-1.7652717814368e-06,-0.00024241379897504,-0.124715181850891,"rep"
