"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"31",6013,30000,0.8,0.001,0,0.561797015149322,-7.02598622635657e-05,-0.00197202829463157,-0.198529594164313,0.033348594472653,9.49058745386825e-06,0.000257492772791013,0.0230872618338839,"EB_gam_po"
"32",7013,3e+05,0.8,0.001,0,0.386381782138754,2.38377997191146e-06,0.00022443312958676,0.08927273903107,0.0150197328495421,1.2484505100298e-06,0.000116304781620873,0.0477452673727959,"EB_gam_po"
"33",14,30000,0.3,0.01,0,0.927597301669511,-0.000398336695957462,-0.00981330073983492,-0.627161421171719,0.0101563552574181,1.43571386486077e-05,0.000250037084719533,0.0113085999706715,"EB_gam_nb"
"34",1014,3e+05,0.3,0.01,0,0.620419953265328,-3.13304288579535e-06,-0.000358349588108228,-0.151229621276672,0.00998635877680183,2.81706796120323e-07,3.11897138805133e-05,0.011987536369895,"EB_gam_nb"
"35",2014,30000,0.8,0.01,0,0.78261550928954,-0.00015087357760186,-0.0045361169504656,-0.422376838401872,0.0126382136533614,7.13162639469253e-06,0.000189053465956735,0.0133477537229124,"EB_gam_nb"
"36",3014,3e+05,0.8,0.01,0,0.56054392403233,-8.98101959556079e-07,-0.000108117993297897,-0.0507088451478795,0.00693579775618036,1.39561118141397e-07,1.66862821956147e-05,0.00760689422717208,"EB_gam_nb"
"37",4014,30000,0.3,0.001,0,0.714275501448395,-0.000160992285141218,-0.00402718864645398,-0.332575518726755,0.0179221703313874,1.06505735891504e-05,0.000221819981585137,0.0142393314994001,"EB_gam_nb"
"38",5014,3e+05,0.3,0.001,0,0.550919378613698,-2.16509268196003e-06,-0.000206555658670539,-0.0756955155233291,0.0207371800463779,4.98184901474146e-07,4.61912332509116e-05,0.0159900254772557,"EB_gam_nb"
"39",6014,30000,0.8,0.001,0,0.615390071707549,-7.18579363366529e-05,-0.00201924067956581,-0.203055015328936,0.0189018729477226,8.79219500336822e-06,0.000234248691452594,0.0204597183309201,"EB_gam_nb"
"40",7014,3e+05,0.8,0.001,0,0.543530333205864,-8.51500071733659e-07,-8.27671341410511e-05,-0.0316326692606766,0.0168135091214488,2.59113429184679e-07,2.51312049842651e-05,0.00946641094796749,"EB_gam_nb"
"41",15,30000,0.3,0.01,0,0.935726929422954,-0.000366249696879696,-0.00880372963309517,-0.576692162522976,0.00935887437724434,1.18919224031839e-05,0.000170035080378355,0.00902818421352928,"FIQT"
"42",1015,3e+05,0.3,0.01,0,0.562621261241966,-2.71453556626635e-06,-0.000308739654220763,-0.131053798491793,0.00892463506907558,2.29598960421798e-07,2.52597183710907e-05,0.00988583892361176,"FIQT"
"43",2015,30000,0.8,0.01,0,0.781234295159447,-0.000145229438954792,-0.00434111116009874,-0.406630322154076,0.0122566251497971,6.20140117896513e-06,0.000161322050778076,0.011949529438062,"FIQT"
"44",3015,3e+05,0.8,0.01,0,0.412702472361201,-5.65356603461668e-07,-6.7736051644013e-05,-0.0319285871211317,0.00592194167619608,1.01807358160897e-07,1.21659829709597e-05,0.00564402409113342,"FIQT"
"45",4015,30000,0.3,0.001,0,0.671315682919424,-0.000156260699397271,-0.00389591161341194,-0.322747691419679,0.0161963586006923,1.13078072009957e-05,0.000241699243377198,0.0156359648361271,"FIQT"
"46",5015,3e+05,0.3,0.001,0,0.345388180222066,-3.21534210271353e-06,-0.000309879312084743,-0.112535796586831,0.012747015793732,5.16165825141297e-07,4.69470696301898e-05,0.0154281359520179,"FIQT"
"47",6015,30000,0.8,0.001,0,0.507289367940992,-6.32632512523787e-05,-0.00176516675584434,-0.178757163439182,0.0156674198923054,8.47307398017245e-06,0.000226455678154463,0.0203866168345787,"FIQT"
"48",7015,3e+05,0.8,0.001,0,0.267054848519106,-2.86203752778012e-06,-0.000283755822516584,-0.10642067364206,0.00924324727604849,3.40029823206093e-07,3.21473877071722e-05,0.0111451120595583,"FIQT"
"49",16,30000,0.3,0.01,0,0.933874826242318,-0.000379320762853743,-0.00920693054286354,-0.597233923208727,0.00958369875372269,1.30516789787017e-05,0.000198353421175681,0.00931644272593814,"BR"
"50",1016,3e+05,0.3,0.01,0,0.629615790756419,-3.23435965721117e-06,-0.0003704572265468,-0.156150007029197,0.00956438897011874,2.44779581328083e-07,2.68587117163207e-05,0.0102458944672754,"BR"
"51",2016,30000,0.8,0.01,0,0.785562533763382,-0.000150166610146831,-0.00451159680421279,-0.420422495901592,0.0123103922046814,6.77108326143771e-06,0.000178012173586217,0.0127430135926626,"BR"
"52",3016,3e+05,0.8,0.01,0,0.569235946366436,-9.97064611300471e-07,-0.000120207204546247,-0.0563097016652656,0.00682238190100733,1.17366032564771e-07,1.39605875587659e-05,0.00631457951999983,"BR"
"53",4016,30000,0.3,0.001,0,0.70761472472083,-0.000161802392232753,-0.0040494620387695,-0.334200574718519,0.0175186595713294,1.11459779022378e-05,0.000232450174597021,0.0145837817311141,"BR"
"54",5016,3e+05,0.3,0.001,0,0.565801772870876,-4.3176536621989e-06,-0.000420712716310626,-0.151222754628101,0.0157206942211329,5.56937644219948e-07,5.01473204498366e-05,0.0156389968205448,"BR"
"55",6016,30000,0.8,0.001,0,0.620763635471776,-7.47596832129506e-05,-0.00210631567277206,-0.211387148562676,0.018330702571444,7.92152602922409e-06,0.000211070453057795,0.0184652042769617,"BR"
"56",7016,3e+05,0.8,0.001,0,0.532489237970596,-4.00925774104083e-06,-0.000402268790393669,-0.149091930320353,0.0221944996086805,4.3689564186178e-07,4.184413567714e-05,0.0140635904763011,"BR"
"57",17,30000,0.3,0.01,0,0.869892257236429,-0.000261531028216256,-0.0058728974331975,-0.411606989245754,0.00985936940029221,1.60265910441898e-05,0.000331790088406291,0.0183361483760713,"cl1"
"58",1017,3e+05,0.3,0.01,0,0.586089590509296,1.56405535202191e-05,0.00147846127187686,0.756055468320187,0.00879211589215987,7.16689738786239e-07,6.39523586095177e-05,0.0427989507665113,"cl1"
"59",2017,30000,0.8,0.01,0,0.70742460958588,5.31797571584151e-05,0.00135838164292183,0.149624354867088,0.0110782655631106,1.29245866751809e-05,0.000328657611886906,0.0386882236695997,"cl1"
"60",3017,3e+05,0.8,0.01,0,0.54646237754333,1.17935445673912e-05,0.00122373965241305,0.666714621617896,0.00654257694420112,3.88305801250912e-07,3.82272125983731e-05,0.0275240822275807,"cl1"
"61",4017,30000,0.3,0.001,0,0.710500887841559,-7.855631082285e-05,-0.00186367721689608,-0.161480828204388,0.0166939854253582,1.97651810631604e-05,0.000462323571984413,0.0366921184231387,"cl1"
"62",5017,3e+05,0.3,0.001,0,0.581504275713915,-2.03236609535384e-06,-0.000193623832778221,-0.0706110801488449,0.0151551777096045,9.65992576465273e-07,9.13335009430883e-05,0.0321779611274372,"cl1"
"63",6017,30000,0.8,0.001,0,0.632450670970824,-1.1814729386087e-05,-0.000317197058650135,-0.032588196345325,0.0174637534188348,1.5196545379658e-05,0.000407136181033975,0.0424279955738301,"cl1"
"64",7017,3e+05,0.8,0.001,0,0.565283970339106,-3.52765911731554e-06,-0.00035242494819646,-0.131065721600346,0.0146841579295368,7.4726317356358e-07,7.49782817790114e-05,0.0264635757880744,"cl1"
"65",18,30000,0.3,0.01,0,0.917691607315487,-0.000341707995762141,-0.0080731390349448,-0.538116534950006,0.00952049698026884,1.1364872050493e-05,0.000208195104477934,0.0125673574484437,"cl2"
"66",1018,3e+05,0.3,0.01,0,0.587184221453371,5.00263819144072e-06,0.000519863701852378,0.241977755478184,0.0089230409989521,6.59577466386762e-07,6.62940553548056e-05,0.0340986833617608,"cl2"
"67",2018,30000,0.8,0.01,0,0.745581646582122,-9.28437510046687e-05,-0.00264082138063447,-0.259724325612369,0.0118500226946805,8.73965541868598e-06,0.000240611626102832,0.0202481859310153,"cl2"
"68",3018,3e+05,0.8,0.01,0,0.533309472780112,5.65723943995605e-06,0.00062570083768365,0.319820106078416,0.00676911722999949,4.51758261509451e-07,4.71359252412048e-05,0.026814922063115,"cl2"
"69",4018,30000,0.3,0.001,0,0.716467725632823,-0.000152550354708364,-0.00379337122038461,-0.31484533852295,0.0166620595760616,1.48017727522691e-05,0.000336962063752219,0.0223453670312183,"cl2"
"70",5018,3e+05,0.3,0.001,0,0.55984010436474,-3.93243139141585e-06,-0.000383435055118741,-0.13745020575912,0.0142762684292976,1.62574978636184e-06,0.000154085624210314,0.0554251401495963,"cl2"
"71",6018,30000,0.8,0.001,0,0.626125477340403,-6.50310530215312e-05,-0.00181746755737533,-0.183558111254724,0.017545354320239,1.16861466533862e-05,0.000320686321621328,0.0292547770985943,"cl2"
"72",7018,3e+05,0.8,0.001,0,0.54178780214008,-4.29062954706758e-06,-0.000432285204511887,-0.159555942502116,0.0116058964205929,8.0284721328938e-07,8.18769907434127e-05,0.0287433590103095,"cl2"
"73",19,30000,0.3,0.01,0,0.896433680728091,-0.000317758834508291,-0.00738732990834587,-0.500308417730647,0.00970628799734888,1.34395808407145e-05,0.000267573300867937,0.0146029668990666,"cl3"
"74",1019,3e+05,0.3,0.01,0,0.586284015289623,9.29236097640065e-06,0.000926742118726878,0.449278272439978,0.00888999559862045,5.80717596337197e-07,5.65625543584864e-05,0.0330892549971412,"cl3"
"75",2019,30000,0.8,0.01,0,0.726255563383041,-3.51898762528137e-05,-0.000954941451268829,-0.098096433665208,0.011314668913988,1.04277530568794e-05,0.000280712683039429,0.0274112565380085,"cl3"
"76",3019,3e+05,0.8,0.01,0,0.543771419913011,8.03689567752133e-06,0.00086609260576345,0.454355668822456,0.00664267790528824,3.06745391788885e-07,3.21501796891545e-05,0.0210095401853998,"cl3"
"77",4019,30000,0.3,0.001,0,0.712719820355601,-0.000128392937716666,-0.00314160297862043,-0.264763995417001,0.016664815089845,1.6627403436101e-05,0.000387291640101338,0.0274613104611767,"cl3"
"78",5019,3e+05,0.3,0.001,0,0.579301994522048,-3.61289756568559e-06,-0.000349658939856833,-0.126205771669713,0.0151758480656355,9.18803206484197e-07,8.72070777674754e-05,0.0293202897209154,"cl3"
"79",6019,30000,0.8,0.001,0,0.63063376187655,-4.74270436340139e-05,-0.00130679555162584,-0.133605091246155,0.0176634733098984,1.27931742691581e-05,0.000349506842601213,0.0334178767546966,"cl3"
"80",7019,3e+05,0.8,0.001,0,0.563560221546886,-4.35478792017361e-06,-0.000438722094777248,-0.161893038175894,0.0147456574885015,6.62518387663422e-07,6.64819377356774e-05,0.0228246751472618,"cl3"
