"","sim","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse"
"2152",52,3e+05,0.3,0.001,1,1129,0.752878653675819,0.455270150575731,9.58506755191668e-05
"2153",53,3e+05,0.3,0.001,1,1094,0.750457038391225,0.459780621572212,0.000100434143962049
"2154",54,3e+05,0.3,0.001,1,1112,0.774280575539568,0.466726618705036,0.000101115036705873
"2155",55,3e+05,0.3,0.001,1,1094,0.741316270566728,0.458866544789762,9.71178303685118e-05
"2156",56,3e+05,0.3,0.001,1,1107,0.741644083107498,0.44263775971093,0.000103974528825208
"2157",57,3e+05,0.3,0.001,1,1098,0.770491803278688,0.460837887067395,0.000104589177993148
"2158",58,3e+05,0.3,0.001,1,1107,0.743450767841012,0.441734417344173,9.60288624962558e-05
"2159",59,3e+05,0.3,0.001,1,1135,0.757709251101322,0.462555066079295,0.000104798408010285
"2160",60,3e+05,0.3,0.001,1,1121,0.745762711864407,0.433541480820696,0.000103711478990139
"2161",61,3e+05,0.3,0.001,1,1094,0.750457038391225,0.463436928702011,0.000105972117999275
"2162",62,3e+05,0.3,0.001,1,1114,0.737881508078995,0.460502692998205,9.94309759931096e-05
"2163",63,3e+05,0.3,0.001,1,1144,0.733391608391608,0.461538461538462,0.000100689706190113
"2164",64,3e+05,0.3,0.001,1,1148,0.763937282229965,0.465156794425087,9.41928973555117e-05
"2165",65,3e+05,0.3,0.001,1,1112,0.74910071942446,0.461330935251799,0.000105924302085116
"2166",66,3e+05,0.3,0.001,1,1096,0.778284671532847,0.468978102189781,0.000105673259406353
"2167",67,3e+05,0.3,0.001,1,1107,0.744354110207769,0.439024390243902,9.9787692999094e-05
"2168",68,3e+05,0.3,0.001,1,1103,0.754306436990027,0.450589301903898,0.000105721675676273
"2169",69,3e+05,0.3,0.001,1,1105,0.758371040723982,0.460633484162896,9.30152757381327e-05
"2170",70,3e+05,0.3,0.001,1,1151,0.745438748913988,0.459600347523892,9.48337142781573e-05
"2171",71,3e+05,0.3,0.001,1,1153,0.761491760624458,0.477883781439722,0.000108144965168618
"2172",72,3e+05,0.3,0.001,1,1148,0.769163763066202,0.479094076655052,0.000108499603344039
"2173",73,3e+05,0.3,0.001,1,1169,0.760479041916168,0.481608212147134,0.000108266120946072
"2174",74,3e+05,0.3,0.001,1,1128,0.74290780141844,0.468085106382979,0.000108960663212427
"2175",75,3e+05,0.3,0.001,1,1158,0.759067357512953,0.455958549222798,0.000100787544660436
"2176",76,3e+05,0.3,0.001,1,1140,0.760526315789474,0.458771929824561,0.000102957574834211
"2177",77,3e+05,0.3,0.001,1,1121,0.742194469223907,0.461195361284567,0.000107028617834884
"2178",78,3e+05,0.3,0.001,1,1155,0.746320346320346,0.458874458874459,0.000102505842563065
"2179",79,3e+05,0.3,0.001,1,1105,0.742081447963801,0.464253393665158,0.000101237796012057
"2180",80,3e+05,0.3,0.001,1,1116,0.74910394265233,0.454301075268817,0.000100683922602737
"2181",81,3e+05,0.3,0.001,1,1103,0.724388032638259,0.445149592021759,0.000100174678231644
"2182",82,3e+05,0.3,0.001,1,1115,0.754260089686099,0.455605381165919,9.10439043390707e-05
"2183",83,3e+05,0.3,0.001,1,1122,0.725490196078431,0.443850267379679,9.53564315856407e-05
"2184",84,3e+05,0.3,0.001,1,1098,0.718579234972678,0.448998178506375,9.99855322840702e-05
"2185",85,3e+05,0.3,0.001,1,1114,0.755834829443447,0.453321364452424,0.000101228097616347
"2186",86,3e+05,0.3,0.001,1,1125,0.758222222222222,0.464888888888889,0.000102724151259135
"2187",87,3e+05,0.3,0.001,1,1120,0.758928571428571,0.470535714285714,0.000116638507122676
"2188",88,3e+05,0.3,0.001,1,1104,0.755434782608696,0.46286231884058,0.000100791820325064
"2189",89,3e+05,0.3,0.001,1,1093,0.739249771271729,0.459286367795059,0.000107268276040646
"2190",90,3e+05,0.3,0.001,1,1097,0.727438468550593,0.444849589790337,0.000104456610160336
"2191",91,3e+05,0.3,0.001,1,1142,0.775831873905429,0.481611208406305,9.53776768864684e-05
"2192",92,3e+05,0.3,0.001,1,1108,0.74187725631769,0.451263537906137,0.000101694042494378
"2193",93,3e+05,0.3,0.001,1,1139,0.7585601404741,0.466198419666374,0.000110952212333433
"2194",94,3e+05,0.3,0.001,1,1125,0.759111111111111,0.476444444444444,0.000109189270992865
"2195",95,3e+05,0.3,0.001,1,1151,0.760208514335361,0.471763683753258,0.000104364816084587
"2196",96,3e+05,0.3,0.001,1,1139,0.726953467954346,0.451273046532046,9.90391683892437e-05
"2197",97,3e+05,0.3,0.001,1,1118,0.761180679785331,0.473166368515206,0.000102911794125038
"2198",98,3e+05,0.3,0.001,1,1156,0.740484429065744,0.449826989619377,0.000101490416849494
"2199",99,3e+05,0.3,0.001,1,1129,0.737821080602303,0.451727192205492,9.45712868435541e-05
"2200",100,3e+05,0.3,0.001,1,1128,0.735815602836879,0.464539007092199,0.00010485745634212
"2201",1,30000,0.8,0.001,1,917,0.829880043620502,0.558342420937841,0.00122300753567901
"2202",2,30000,0.8,0.001,1,842,0.788598574821853,0.541567695961995,0.00110596649955754
"2203",3,30000,0.8,0.001,1,962,0.806652806652807,0.554054054054054,0.00118169980938172
"2204",4,30000,0.8,0.001,1,953,0.855194123819517,0.599160545645331,0.00131641297070523
"2205",5,30000,0.8,0.001,1,910,0.830769230769231,0.550549450549451,0.00127069205728649
"2206",6,30000,0.8,0.001,1,938,0.835820895522388,0.569296375266525,0.00133339316675604
"2207",7,30000,0.8,0.001,1,928,0.824353448275862,0.571120689655172,0.00127171413375546
"2208",8,30000,0.8,0.001,1,941,0.833156216790648,0.595111583421892,0.00120729850771767
"2209",9,30000,0.8,0.001,1,890,0.826966292134831,0.558426966292135,0.00117576055890485
"2210",10,30000,0.8,0.001,1,921,0.830618892508143,0.577633007600434,0.00123348809447534
"2211",11,30000,0.8,0.001,1,859,0.814901047729919,0.522700814901048,0.00106359504487505
"2212",12,30000,0.8,0.001,1,881,0.797956867196368,0.562996594778661,0.00122913832326292
"2213",13,30000,0.8,0.001,1,920,0.808695652173913,0.567391304347826,0.00120422844895639
"2214",14,30000,0.8,0.001,1,914,0.807439824945295,0.565645514223195,0.00126560817479434
"2215",15,30000,0.8,0.001,1,941,0.820403825717322,0.563230605738576,0.00126864467164604
"2216",16,30000,0.8,0.001,1,914,0.831509846827133,0.571115973741794,0.0011528196685655
"2217",17,30000,0.8,0.001,1,867,0.820069204152249,0.565167243367935,0.00134674182849199
"2218",18,30000,0.8,0.001,1,899,0.817575083426029,0.569521690767519,0.00112692878036688
"2219",19,30000,0.8,0.001,1,903,0.82281284606866,0.571428571428571,0.00126285395805147
"2220",20,30000,0.8,0.001,1,897,0.819397993311037,0.569676700111483,0.00127323412655339
"2221",21,30000,0.8,0.001,1,923,0.828819068255688,0.565547128927411,0.00129763038747927
"2222",22,30000,0.8,0.001,1,937,0.816435432230523,0.581643543223052,0.00128103035330136
"2223",23,30000,0.8,0.001,1,950,0.814736842105263,0.563157894736842,0.00120230694294673
"2224",24,30000,0.8,0.001,1,960,0.822916666666667,0.598958333333333,0.00129507061316059
"2225",25,30000,0.8,0.001,1,905,0.811049723756906,0.551381215469613,0.00122797117054071
"2226",26,30000,0.8,0.001,1,922,0.821041214750542,0.54880694143167,0.00123650951286099
"2227",27,30000,0.8,0.001,1,951,0.838065194532072,0.559411146161935,0.00117444621214817
"2228",28,30000,0.8,0.001,1,946,0.824524312896406,0.576109936575053,0.00129528607479205
"2229",29,30000,0.8,0.001,1,891,0.829405162738496,0.585858585858586,0.00116158783658443
"2230",30,30000,0.8,0.001,1,928,0.810344827586207,0.5625,0.00124523590772883
"2231",31,30000,0.8,0.001,1,893,0.811870100783875,0.572228443449048,0.00134120338237969
"2232",32,30000,0.8,0.001,1,886,0.808126410835214,0.563205417607223,0.0012277223382209
"2233",33,30000,0.8,0.001,1,931,0.824919441460795,0.588614393125671,0.00116649339302061
"2234",34,30000,0.8,0.001,1,891,0.832772166105499,0.571268237934905,0.00135577598784733
"2235",35,30000,0.8,0.001,1,863,0.792584009269988,0.539976825028969,0.00124308831025899
"2236",36,30000,0.8,0.001,1,900,0.823333333333333,0.572222222222222,0.00122218536830535
"2237",37,30000,0.8,0.001,1,904,0.803097345132743,0.567477876106195,0.00127709644625556
"2238",38,30000,0.8,0.001,1,920,0.821739130434783,0.558695652173913,0.00130226510503997
"2239",39,30000,0.8,0.001,1,935,0.839572192513369,0.567914438502674,0.00116113733346174
"2240",40,30000,0.8,0.001,1,910,0.834065934065934,0.575824175824176,0.00140079207879643
"2241",41,30000,0.8,0.001,1,938,0.830490405117271,0.585287846481876,0.0013679184384764
"2242",42,30000,0.8,0.001,1,914,0.823851203501094,0.583150984682713,0.00133953028619825
"2243",43,30000,0.8,0.001,1,936,0.838675213675214,0.583333333333333,0.00131032884852755
"2244",44,30000,0.8,0.001,1,915,0.816393442622951,0.580327868852459,0.00119941360247746
"2245",45,30000,0.8,0.001,1,921,0.819761129207383,0.581976112920738,0.00119960261312718
"2246",46,30000,0.8,0.001,1,939,0.817891373801917,0.565495207667732,0.00128347911631247
"2247",47,30000,0.8,0.001,1,880,0.811363636363636,0.5625,0.00121183915627681
"2248",48,30000,0.8,0.001,1,882,0.834467120181406,0.579365079365079,0.00121774299235135
"2249",49,30000,0.8,0.001,1,924,0.822510822510823,0.581168831168831,0.00135055154818827
"2250",50,30000,0.8,0.001,1,894,0.814317673378076,0.553691275167785,0.0012351871324567
"2251",51,30000,0.8,0.001,1,900,0.808888888888889,0.547777777777778,0.00116848663788445
"2252",52,30000,0.8,0.001,1,892,0.806053811659193,0.561659192825112,0.00117445469149925
"2253",53,30000,0.8,0.001,1,924,0.831168831168831,0.571428571428571,0.00121365396991679
"2254",54,30000,0.8,0.001,1,907,0.818081587651599,0.560088202866593,0.00114318326360874
"2255",55,30000,0.8,0.001,1,886,0.817155756207675,0.554176072234763,0.00124879509074556
"2256",56,30000,0.8,0.001,1,938,0.818763326226013,0.560767590618337,0.00118024366152745
"2257",57,30000,0.8,0.001,1,896,0.816964285714286,0.571428571428571,0.00120135406608869
"2258",58,30000,0.8,0.001,1,918,0.828976034858388,0.587145969498911,0.00116056067264904
