"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"41",1611,30000,0.3,0.01,1,1,-0.0264423281622477,-0.109738109680474,-0.859996325269878,NA,NA,NA,NA,"FIQT"
"42",1711,3e+05,0.3,0.01,1,0.555284401894884,-5.19234208234405e-05,-0.00218139905487012,-0.2995844615717,0.0430714289451304,2.39959784864819e-05,0.000986115688115966,0.119658029399305,"FIQT"
"43",1811,30000,0.8,0.01,1,0.593522446681603,-0.000634178958165281,-0.00810634440743287,-0.330199640823128,0.0507412693643109,0.000275903421471083,0.00358521345840534,0.133088552315244,"FIQT"
"44",1911,3e+05,0.8,0.01,1,0.223109862651914,2.41785999496661e-05,0.00114462768202543,0.242576297620088,0.00788804315292923,2.34694835813155e-06,0.00010935923986808,0.0257023601387149,"FIQT"
"45",2011,30000,0.3,0.001,1,0.407366946778711,0.000321375444458989,0.00402331534594643,0.446882112123687,0.130455236182771,0.00126254515498558,0.0136854672042994,0.868615841821654,"FIQT"
"46",2111,3e+05,0.3,0.001,1,0.18064401660685,5.73083019987953e-05,0.00253967265831862,0.579991965284662,0.0238618000265846,1.40046108684536e-05,0.000584487752703549,0.16029289541039,"FIQT"
"47",2211,30000,0.8,0.001,1,0.194129792187852,0.000568790676095497,0.0080472003145897,0.595908202110532,0.029062781719949,0.000161542035504689,0.00234819121847962,0.22848210255491,"FIQT"
"48",2311,3e+05,0.8,0.001,1,0.106947287813495,2.91185067224504e-05,0.00127301798144247,0.25152519478256,0.00805034917688442,7.51914498041985e-06,0.000309971261719841,0.0650940106332796,"FIQT"
"49",13,30000,0.3,0.01,-1,1,-0.0412470362853121,-0.147231368793587,-0.909999598543061,0,0.0149788856060281,0.025682886699591,0.00583898093375847,"BR"
"50",113,3e+05,0.3,0.01,-1,0.756684804847546,-0.000325031013714655,-0.00940242556257092,-0.646688469940142,0.0791779718794299,0.000122127030846238,0.00334885618019626,0.195159362465165,"BR"
"51",213,30000,0.8,0.01,-1,0.760478655005859,-0.00354451640296356,-0.0305026823324701,-0.611766085895654,0.0677633264743457,0.00193389817796391,0.0158487721322238,0.238427533369346,"BR"
"52",312,3e+05,0.8,0.01,-1,0.526665740461041,-6.52253547506985e-07,-2.22744209012727e-05,-0.00275008320835907,0.00589866270287618,4.41878447122554e-06,0.000163893371429571,0.0245319993526905,"BR"
"53",412,30000,0.3,0.001,-1,0.456825396825397,0.00159604202767844,0.00937101270427504,0.513178706335167,0.212088876280697,0.00471354637004263,0.0261148502671654,0.968830698683278,"BR"
"54",512,3e+05,0.3,0.001,-1,0.280214831587191,0.000192764203975989,0.00583032434987602,1.0700428729555,0.0257282881101803,4.74619066186558e-05,0.00132849952284651,0.329171714807517,"BR"
"55",612,30000,0.8,0.001,-1,0.280754773726843,0.00199458330417129,0.0197966065228164,1.26965266930846,0.0239435277580688,0.000640423002523871,0.00558274723409896,0.503024211671267,"BR"
"56",712,3e+05,0.8,0.001,-1,0.276008628075949,7.79315725235124e-05,0.0025888391499809,0.41515481987564,0.00897356577106617,1.72324968535642e-05,0.000491570321799128,0.0815851324463706,"BR"
"57",812,30000,0.3,0.01,0,1,-0.165983846217417,-0.30066224572699,-0.913082024523407,NA,NA,NA,NA,"BR"
"58",912,3e+05,0.3,0.01,0,0.71749519563897,-0.000149666997403747,-0.006004601589704,-0.621834146032099,0.0627016464561079,3.97145277186651e-05,0.00130007945959786,0.0755668672135623,"BR"
"59",1012,30000,0.8,0.01,0,0.708920367686352,-0.00164263395616711,-0.0206194674909484,-0.649926047282158,0.0482506394588633,0.000329845992344636,0.00361598579892946,0.0621156697879563,"BR"
"60",1112,3e+05,0.8,0.01,0,0.524581968683191,-4.59383660257227e-06,-0.000213619711129193,-0.0387616602901345,0.00757576585678102,2.51078625674042e-06,0.000116823022946649,0.0207912331466426,"BR"
"61",1212,30000,0.3,0.001,0,0.54516317016317,0.00036242362035731,0.00357769488258157,0.280598569177261,0.17116143894319,0.00102588402018091,0.0109300607328201,0.629364368238011,"BR"
"62",1312,3e+05,0.3,0.001,0,0.265908036740091,0.000126065708757436,0.00483546059399726,1.14295875025589,0.025803931494983,2.78357407732015e-05,0.000983373147068341,0.300876275929776,"BR"
"63",1412,30000,0.8,0.001,0,0.283223019568836,0.00108544289315713,0.0130060086179535,0.882389591391449,0.0176332761545355,0.000153462199640226,0.00163945228160095,0.156117285354051,"BR"
"64",1512,3e+05,0.8,0.001,0,0.297644606334748,7.45423027151177e-05,0.00272388040454675,0.498041804283334,0.0344261364876124,2.02813125632919e-05,0.00068315615810285,0.140425079141145,"BR"
"65",1612,30000,0.3,0.01,1,1,-0.0280972020461461,-0.123871868002733,-0.913818570051243,NA,NA,NA,NA,"BR"
"66",1712,3e+05,0.3,0.01,1,0.660371241141086,-8.32842985226169e-05,-0.00376061097530201,-0.490852730210013,0.0410363655022383,2.05924893759612e-05,0.0009003875758974,0.0917373324075934,"BR"
"67",1812,30000,0.8,0.01,1,0.67894474622472,-0.000932929004084005,-0.0126118800477107,-0.492862686905511,0.0499114639391989,0.000210989560549064,0.00281560658851073,0.0860266916384735,"BR"
"68",1912,3e+05,0.8,0.01,1,0.508261020754338,2.03978322282613e-06,0.000101625096097363,0.0205732413765863,0.00804141077044914,1.56314542399514e-06,7.78782168386864e-05,0.0158736785514855,"BR"
"69",2012,30000,0.3,0.001,1,0.434201680672269,0.000700094422956855,0.00726121548203947,0.645256565924327,0.112719370804493,0.0015290400190934,0.0150292309196029,1.12973484732133,"BR"
"70",2112,3e+05,0.3,0.001,1,0.253754247792069,0.000117061963397237,0.00471563241830779,1.18378185864586,0.0222105568877464,2.87484382730802e-05,0.00100340404062498,0.319840183763338,"BR"
"71",2212,30000,0.8,0.001,1,0.264052833553136,0.00108955496446682,0.0140979839622203,1.12300870828902,0.0362185287513485,0.000284265800752882,0.00325344948247068,0.351855846326198,"BR"
"72",2312,3e+05,0.8,0.001,1,0.310256692768563,5.67056785962963e-05,0.00236806157003183,0.491189898809688,0.0138610929681788,1.10556310921658e-05,0.000432834647065939,0.104456170924033,"BR"
"73",14,30000,0.3,0.01,-1,1,-0.0314381717698654,-0.0925980260239398,-0.668918877083107,0,0.0155533033512044,0.0346019521858267,0.103991893671658,"cl1"
"74",114,3e+05,0.3,0.01,-1,0.574634117234668,0.000646848893885243,0.0112425870985695,1.43093781421992,0.0445945317349071,0.000416113048512187,0.00618583309865852,1.17989778104619,"cl1"
"75",214,30000,0.8,0.01,-1,0.578355815255424,0.00477891618626353,0.0270931606840902,1.07802197391763,0.0889069392651762,0.0036851891915751,0.0201577569168583,1.0277228340628,"cl1"
"76",313,3e+05,0.8,0.01,-1,0.513424153012889,0.000365431878270684,0.00985336146450875,1.9792981536225,0.00715298930246508,3.50908703585585e-05,0.000729448769093308,0.192862658059754,"cl1"
"77",413,30000,0.3,0.001,-1,0.675952380952381,0.00508244042663833,0.0259159958417363,1.5902196985695,0.162632390785562,0.00957592456212177,0.0407270308396903,2.57599252214879,"cl1"
"78",513,3e+05,0.3,0.001,-1,0.511366063760937,0.000334658456587065,0.00913852287910305,1.84466524653515,0.0213144278685682,8.79755182580997e-05,0.00204131501850048,0.561832298187275,"cl1"
"79",613,30000,0.8,0.001,-1,0.497636373436499,0.00454341834840206,0.03748319193089,2.90525018102521,0.0270561678772108,0.00207753725654148,0.0133201573593159,1.51302733929116,"cl1"
