"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"6511",3e+05,0.3,0.001,0,0.651272263672005,-0.000965524782378671,-0.0179785385512373,-0.751432061489583,0.0142842277101731,6.16110139468916e-05,0.000860774028104193,0.0154632998898755,"FIQT"
"7011",30000,0.8,0.001,0,0.654247051781576,-0.00998581840211664,-0.0584844961593165,-0.75980665791153,0.0133729646053815,0.000767316648230768,0.00352159285667782,0.0177256822993353,"FIQT"
"7511",3e+05,0.8,0.001,0,0.602266585792601,-0.000717924730497273,-0.0142706799533375,-0.688013757482057,0.0147901327261081,6.03281579400401e-05,0.00100216757244666,0.0245552395064287,"FIQT"
"8011",30000,0.3,0.01,1,0.995741949525376,-0.0235632661903069,-0.143788798042553,-0.995687341604373,0.0028194898260827,0.00135619246386408,0.00432189978735728,0.00134752696146866,"FIQT"
"8511",3e+05,0.3,0.01,1,0.625022212568386,-0.000742287072053543,-0.015594500046899,-0.743511595080223,0.0122414392600784,5.68185171206213e-05,0.000830421910615187,0.0125960360239225,"FIQT"
"9011",30000,0.8,0.01,1,0.638469202443563,-0.00803984482280678,-0.0525930573906167,-0.761874151896014,0.0121704913790627,0.000626625693151666,0.00274346214229516,0.0108399808619765,"FIQT"
"9511",3e+05,0.8,0.01,1,0.444789894821881,-0.000111269013276998,-0.00325602258786955,-0.317429283109626,0.00733664070067226,1.21133277351225e-05,0.000311500896314911,0.0217773293173123,"FIQT"
"10011",30000,0.3,0.001,1,0.894475378834644,-0.0200767409603412,-0.113190333504268,-0.951162034147411,0.00947125149463711,0.00119202449112316,0.00430382578640212,0.00499588725249952,"FIQT"
"10511",3e+05,0.3,0.001,1,0.669933451732912,-0.00104705833028692,-0.0199141924133515,-0.79693246673082,0.0149424172105479,7.42822934337257e-05,0.000966273713135447,0.0123703463452976,"FIQT"
"11011",30000,0.8,0.001,1,0.673223387300227,-0.0108261817102375,-0.0644830068646383,-0.801937458466813,0.0131075667765171,0.0007368889937313,0.00300562503381237,0.0111788866883694,"FIQT"
"11511",3e+05,0.8,0.001,1,0.609294451149713,-0.000767466901858411,-0.0155562022632948,-0.729043993130673,0.0136285017424972,5.00599030814227e-05,0.000699089839604347,0.0117262551656286,"FIQT"
"12",30000,0.3,0.01,-1,1,-0.0218160695172235,-0.109166028980009,-0.914057818810816,0,0.00117922015623898,0.00299709746074383,0.00293528126039886,"BR"
"512",3e+05,0.3,0.01,-1,0.693984509027561,-0.000759134984379691,-0.0143478445889459,-0.671268320072378,0.013147363311178,5.03134132763829e-05,0.000674783660158509,0.0141656403471787,"BR"
"1012",30000,0.8,0.01,-1,0.711835231711119,-0.00824652555293485,-0.0487945490255111,-0.695274534793359,0.0154606904444941,0.000539998944420195,0.0023638374658411,0.0142643715924586,"BR"
"1512",3e+05,0.8,0.01,-1,0.494142445718409,-6.19342865033587e-05,-0.00165548602137452,-0.162133166321196,0.00570983039434441,8.907275265875e-06,0.00022860662626378,0.020044647505218,"BR"
"2012",30000,0.3,0.001,-1,0.914035946659186,-0.0182102034659495,-0.0907707709116681,-0.857928291973867,0.00816103067480254,0.000938306678911913,0.00282366265903994,0.0080111215080492,"BR"
"2512",3e+05,0.3,0.001,-1,0.610762564206316,-0.000782399944773716,-0.0134195175588402,-0.60764007324932,0.0136837898822908,7.90114298922168e-05,0.00116473796095659,0.0307917426965809,"BR"
"3012",30000,0.8,0.001,-1,0.61825098376282,-0.00761534507553816,-0.0408869003786332,-0.589452317097827,0.0103157611548532,0.000667161298742713,0.00344779008932992,0.0344062619509905,"BR"
"3512",3e+05,0.8,0.001,-1,0.552434506255868,-0.000579703933245907,-0.0109483619515176,-0.567872581400542,0.0209017944221814,4.45949243209541e-05,0.000637105754128818,0.017444618349284,"BR"
