"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"11015",3e+05,0.8,0.01,0,0.272759679320053,2.06236640004445e-06,2.06236640004445e-06,0.196603800847232,0.00788027488439381,3.19474029539813e-07,3.19474029539813e-07,0.0341878396694539,"FIQT"
"12015",30000,0.3,0.001,0,0.309336695357247,7.0241168859385e-05,7.0241168859385e-05,0.665995123621769,0.0495564424031515,3.14332554396207e-05,3.14332554396207e-05,0.358143437845614,"FIQT"
"13015",3e+05,0.3,0.001,0,0.142844211187271,4.87641389385088e-06,4.87641389385088e-06,0.420637345233938,0.0152238351120728,1.37599860987457e-06,1.37599860987457e-06,0.12582863259415,"FIQT"
"14015",30000,0.8,0.001,0,0.205429099252582,6.98735257937007e-05,6.98735257937007e-05,0.685274335115741,0.026333263056207,1.83355167570239e-05,1.83355167570239e-05,0.226665615371321,"FIQT"
"15015",3e+05,0.8,0.001,0,0.108463761197849,3.92596591973171e-06,3.92596591973171e-06,0.307320894125409,0.0106317335045691,1.14784966502675e-06,1.14784966502675e-06,0.0931259736533234,"FIQT"
"16015",30000,0.3,0.01,1,0.896022727272727,-0.000369597004924389,-0.000369597004924389,-0.740539004862515,0.181240128425974,0.000269225006556985,0.000269225006556985,0.29276321832625,"FIQT"
"17015",3e+05,0.3,0.01,1,0.366057569235082,1.81525438996333e-06,1.81525438996333e-06,0.190656422128943,0.0159879030301764,5.92205664651285e-07,5.92205664651285e-07,0.0678401916723298,"FIQT"
"18015",30000,0.8,0.01,1,0.61414064049614,-8.85133710701512e-05,-8.85133710701512e-05,-0.458458006065476,0.0553143615020218,2.96346187538897e-05,2.96346187538897e-05,0.11596548497621,"FIQT"
"19015",3e+05,0.8,0.01,1,0.257482762966168,2.08793143197822e-06,2.08793143197822e-06,0.235078265911435,0.00694705738368723,2.47532798613175e-07,2.47532798613175e-07,0.0319936296816614,"FIQT"
"20015",30000,0.3,0.001,1,0.279835198370007,6.86289646215197e-05,6.86289646215197e-05,0.733209530861348,0.0444040053316487,2.57365233752508e-05,2.57365233752508e-05,0.345086787536368,"FIQT"
